Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"Live From The Blue Note Tokyo","Chick Corea Akoustic Band","Live From The Blue Note Tokyo","Favorites Albums","Album","0088807239567","0088807239567"
"Live at Woodstock","Jimi Hendrix","Live at Woodstock","Favorites Albums","Album","0884977422603","0884977422603"
"Live At The Village Vanguard - The Master Takes","John Coltrane Quartet","Live At The Village Vanguard - The Master Takes","Favorites Albums","Album","0602567825173","nncujpz8umzzb"
"Live At The Village Vanguard Again!","John Coltrane","Live At The Village Vanguard Again!","Favorites Albums","Album","0060254787403","0060254787403"
"Light As A Feather","Chick Corea","Light As A Feather","Favorites Albums","Album","0060253742097","0060253742097"
"Led Zeppelin (HD Remastered Edition)","Led Zeppelin","Led Zeppelin (HD Remastered Edition)","Favorites Albums","Album","0603497920143","0603497920143"
"Led Zeppelin IV (HD Remastered Edition)","Led Zeppelin","Led Zeppelin IV (HD Remastered Edition)","Favorites Albums","Album","0603497898503","0603497898503"
"Led Zeppelin II","Led Zeppelin","Led Zeppelin II","Favorites Albums","Album","0603497920099","0603497920099"
"Led Zeppelin III (HD Remastered Edition)","Led Zeppelin","Led Zeppelin III (HD Remastered Edition)","Favorites Albums","Album","0603497904655","0603497904655"
"L.A. Woman","The Doors","L.A. Woman","Favorites Albums","Album","0603497927913","0603497927913"
"Jazz Sounds Of Africa","Ahmed Abdul Malik","Jazz Sounds Of Africa","Favorites Albums","Album","0025218527927","n0ofy4pyk7p9b"
"Jazz Samba Encore!","Stan Getz","Jazz Samba Encore!","Favorites Albums","Album","0602508561122","cvwlag2rxpz5a"
"Jazz Sahara","Ahmed Abdul Malik","Jazz Sahara","Favorites Albums","Album","0191018988401","ijimpzrsguwwc"
"Jazz Moods","Yusef Lateef","Jazz Moods","Favorites Albums","Album","5056321643537","tt8h66x6fg6lc"
"Jazz in Silhouette","Sun Ra","Jazz in Silhouette","Favorites Albums","Album","0881626587966","i8mxjbhoj4t6a"
"Isle of Wight ","Miles Davis","Isle of Wight ","Favorites Albums","Album","0886444505819","0886444505819"
"I Put A Spell On You","Nina Simone","I Put A Spell On You","Favorites Albums","Album","0602567832058","vse176trhoosb"
"In The Wake Of Poseidon","King Crimson","In The Wake Of Poseidon","Favorites Albums","Album","0633367880529","wm5jj1emxjdjb"
"In The Court Of The Crimson King","King Crimson","In The Court Of The Crimson King","Favorites Albums","Album","0633367880123","jdd9xlfslpa7b"
"Indestructible","Art Blakey & The Jazz Messengers","Indestructible","Favorites Albums","Album","0724358091557","0724358091557"
"Idle Moments","Grant Green","Idle Moments","Favorites Albums","Album","0060253765437","0060253765437"
"Hub-Tones","Freddie Hubbard","Hub-Tones","Favorites Albums","Album","5712192259535","hgq9t83z55cmb"
"Hot Rats","Frank Zappa","Hot Rats","Favorites Albums","Album","0602438148820","sfrcmgwpzfuuc"
"High Priestess Of Soul","Nina Simone","High Priestess Of Soul","Favorites Albums","Album","0060253745203","0060253745203"
"Here Comes The Sun ","Nina Simone","Here Comes The Sun ","Favorites Albums","Album","0886443424180","0886443424180"
"Hendrix In The West","Jimi Hendrix","Hendrix In The West","Favorites Albums","Album","0886443076433","0886443076433"
"Heart Of The Congos ","The Congos","Heart Of The Congos ","Favorites Albums","Album","0054645421263","0054645421263"
"Happy Frame Of Mind","Horace Parlan","Happy Frame Of Mind","Favorites Albums","Album","0602567476924","d3hvn6k9afjxc"
"Guantanamera - The Essential Album","Compay Segundo","Guantanamera - The Essential Album","Favorites Albums","Album","0825646428274","0825646428274"
"Gettin' Around","Dexter Gordon","Gettin' Around","Favorites Albums","Album","0060254719182","0060254719182"
"Free Jazz","Ornette Coleman","Free Jazz","Favorites Albums","Album","5055869578226","w8f2shzufu9va"
"Friday Night in San Francisco","Al Di Meola with Paco DeLucia & John McLaughlin","Friday Night in San Francisco","Favorites Albums","Album","0074646516829","0074646516829"
"FLYING BEAGLE","Himiko Kikuchi","FLYING BEAGLE","Favorites Albums","Album","4547366711370","uv7qlkkb37uuc"
"First Light ","Makoto Matsushita","First Light ","Favorites Albums","Album","0190295490478","g38oncovhjrgb"
"Expression","John Coltrane","Expression","Favorites Albums","Album","0011105013123","caygntk142zuc"
"Everything's Beautiful","Robert Glasper","Everything's Beautiful","Favorites Albums","Album","0886445484946","0886445484946"
"Ellington at Newport (July 7, 1956 - Newport 60th Anniversary Edition)","Duke Ellington","Ellington at Newport (July 7, 1956 - Newport 60th Anniversary Edition)","Favorites Albums","Album","0886444754507","0886444754507"
"Electric Ladyland","Jimi Hendrix","Electric Ladyland","Favorites Albums","Album","0884977526615","ovpkppztzssvc"
"Easy Skanking In Boston '78","Bob Marley & The Wailers","Easy Skanking In Boston '78","Favorites Albums","Album","0060254718344","0060254718344"
"East Meets West","Ahmed Abdul Malik","East Meets West","Favorites Albums","Album","0885686893272","y95c57ecvfflb"
"Lucio Dalla ","Lucio Dalla","Lucio Dalla ","Favorites Albums","Album","0886447889312","uiwxiktqeposc"
"Cosmos","Yuji Ohno","Cosmos","Favorites Albums","Album","4582290416830","ugj5xycb1nmfa"
"Cosmic Music","John Coltrane","Cosmic Music","Favorites Albums","Album","0060252776833","0060252776833"
"João Gilberto Apresenta Chega de Saudade","João Gilberto","João Gilberto Apresenta Chega de Saudade","Favorites Albums","Album","0192231732437","hj8b7d1vpo1gb"
"Charlie Parker With Strings: Complete Master Takes","Charlie Parker","Charlie Parker With Strings: Complete Master Takes","Favorites Albums","Album","0602567829393","vzdfowz2uikcc"
"Buena Vista Social Club at Carnegie Hall ","Buena Vista Social Club","Buena Vista Social Club at Carnegie Hall ","Favorites Albums","Album","0859381180890","y9nreywvtslya"
"Brasilian Skies","Masayoshi Takanaka","Brasilian Skies","Favorites Albums","Album","0602498909386","agyu046z8b9lc"
"Blue Wild Angel: Jimi Hendrix At The Isle Of Wight","Jimi Hendrix","Blue Wild Angel: Jimi Hendrix At The Isle Of Wight","Favorites Albums","Album","0884977428056","0884977428056"
"Black Sabbath ","Black Sabbath","Black Sabbath ","Favorites Albums","Album","5414939680571","5414939680571"
"Band Of Gypsys ","Jimi Hendrix","Band Of Gypsys ","Favorites Albums","Album","0884977422948","0884977422948"
"Baltimore","Nina Simone","Baltimore","Favorites Albums","Album","0074645790626","0074645790626"
"Ballads","John Coltrane","Ballads","Favorites Albums","Album","0060253742082","0060253742082"
"Axis: Bold As Love","Jimi Hendrix","Axis: Bold As Love","Favorites Albums","Album","0884977412833","0884977412833"
"Atlantis","Sun Ra","Atlantis","Favorites Albums","Album","0032501228119","l3kaikzr2meaa"
"At Carnegie Hall","The Dave Brubeck Quartet","At Carnegie Hall","Favorites Albums","Album","0074646145524","pv4m14ei3lzcc"
"Are You Experienced","Jimi Hendrix","Are You Experienced","Favorites Albums","Album","0884977413885","0884977413885"
"Ali","Vieux Farka Toure","Ali","Favorites Albums","Album","0656605157467","d9l14ik6b3jrb"
"Adventures","THE SQUARE / T-SQUARE","Adventures","Favorites Albums","Album","4582290397634","h6qj3a5kqdwgc"
"Acquiring The Taste","Gentle Giant","Acquiring The Taste","Favorites Albums","Album","0602567778547","kd5lkwbwagvaa"
"Abraxas","Santana","Abraxas","Favorites Albums","Album","0886444593038","0886444593038"
"5 By Monk By 5","Thelonious Monk Quintet","5 By Monk By 5","Favorites Albums","Album","0888072239425","xsiem6oqa4kcc"
"Live in Paris ","Pharoah Sanders","Live in Paris ","Favorites Albums","Album","3760179355390","qzeh9ou3wt6qc"
"Crescent","John Coltrane","Crescent","Favorites Albums","Album","0060254786544","0060254786544"
"Thembi","Pharoah Sanders","Thembi","Favorites Albums","Album","0011105025324","u4vnz16ekg73b"
"Concert In Japan","John Coltrane","Concert In Japan","Favorites Albums","Album","0060252779021","0060252779021"
"Evenings At The Village Gate: John Coltrane with Eric Dolphy","John Coltrane","Evenings At The Village Gate: John Coltrane with Eric Dolphy","Favorites Albums","Album","0602455635761","wwdyaxydqb7uc"
"A Night At Birdland - Volume 2/Live","Art Blakey","A Night At Birdland - Volume 2/Live","Favorites Albums","Album","0060254706464","0060254706464"
"My Point Of View","Herbie Hancock","My Point Of View","Favorites Albums","Album","0060253782174","0060253782174"
"Juju","Wayne Shorter","Juju","Favorites Albums","Album","5099995836256","l2t57vsne3c8b"
"A New Perspective","Donald Byrd","A New Perspective","Favorites Albums","Album","0060253744998","0060253744998"
"Night Dreamer","Wayne Shorter","Night Dreamer","Favorites Albums","Album","0060253748396","0060253748396"
"Song For My Father","Horace Silver","Song For My Father","Favorites Albums","Album","0060253764846","0060253764846"
"Hand On The Torch - 20th Anniversary Edition","Us3","Hand On The Torch - 20th Anniversary Edition","Favorites Albums","Album","0060253751862","0060253751862"
"Live In Montreux","Rachelle Ferrell","Live In Montreux","Favorites Albums","Album","0724353856458","0724353856458"
"Droppin' Science","Various Artists","Droppin' Science","Favorites Albums","Album","5099920770259","h72o17xwidm4b"
"Genius Of Modern Music","Thelonious Monk","Genius Of Modern Music","Favorites Albums","Album","0060253764795","0060253764795"
"Out To Lunch!","Eric Dolphy","Out To Lunch!","Favorites Albums","Album","0060253764848","0060253764848"
"Hank Mobley Quartet","Hank Mobley Quartet","Hank Mobley Quartet","Favorites Albums","Album","0060253771826","0060253771826"
"Return To Forever","Chick Corea","Return To Forever","Favorites Albums","Album","0602438236640","mwlvxs29j1llb"
"Journey in Satchidananda","Alice Coltrane","Journey in Satchidananda","Favorites Albums","Album","0011105022828","wlphbuc9uw59a"
"Ptah The El Daoud","Alice Coltrane","Ptah The El Daoud","Favorites Albums","Album","0011105020121","m4mum1t60rzea"
"KOKOROKO","Kokoroko","KOKOROKO","Favorites Albums","Album","5060180323844","i8zm8j55tsllb"
"Monk","Thelonious Monk","Monk","Favorites Albums","Album","0002521860162","0002521860162"
"Monk's Blues","Thelonious Monk","Monk's Blues","Favorites Albums","Album","0074645358123","0074645358123"
"Misterioso [Original Jazz Classics Remasters]","Thelonious Monk Quartet ","Misterioso [Original Jazz Classics Remasters]","Favorites Albums","Album","0088807233725","0088807233725"
"Solo Monk ","Thelonious Monk","Solo Monk ","Favorites Albums","Album","0074646353325","0074646353325"
"Thelonious Monk and Sonny Rollins","Thelonious Monk","Thelonious Monk and Sonny Rollins","Favorites Albums","Album","0088807234990","0088807234990"
"Underground","Thelonious Monk","Underground","Favorites Albums","Album","0886443373259","0886443373259"
"Straight, No Chaser","Thelonious Monk","Straight, No Chaser","Favorites Albums","Album","5099706488620","5099706488620"
"Minor Move","Tina Brooks","Minor Move","Favorites Albums","Album","0602508328992","pckcd6sf5lqva"
"True Blue","Tina Brooks","True Blue","Favorites Albums","Album","0060254714906","0060254714906"
"Adam's Apple","Wayne Shorter","Adam's Apple","Favorites Albums","Album","0060253742976","0060253742976"
"Speak No Evil","Wayne Shorter","Speak No Evil","Favorites Albums","Album","0060253764843","0060253764843"
"Other Sounds","Yusef Lateef","Other Sounds","Favorites Albums","Album","5712192269282","a51qc9snpz4ka"
"Jazz Mood","Yusef Lateef","Jazz Mood","Favorites Albums","Album","0888072073234","vuwa2fhf2od5a"
"The Golden Flute","Yusef Lateef","The Golden Flute","Favorites Albums","Album","0060249861049","0060249861049"
"Live At Pep's","Yusef Lateef","Live At Pep's","Favorites Albums","Album","0602527840888","a4vwskpyc9hzb"
"The Centaur And The Phoenix","Yusef Lateef","The Centaur And The Phoenix","Favorites Albums","Album","5056321660893","hxel88fb9sqha"
"Psychicemotus","Yusef Lateef","Psychicemotus","Favorites Albums","Album","0602498802731","oy876unpptbkc"
"The Blue Yusef Lateef","Yusef Lateef","The Blue Yusef Lateef","Favorites Albums","Album","0603497101566","0603497101566"
"Eastern Sounds","Yusef Lateef","Eastern Sounds","Favorites Albums","Album","0888072504899","xxh2tua3utdab"
"Newk's Time","Sonny Rollins","Newk's Time","Favorites Albums","Album","0060253744052","0060253744052"
"Sonny Side Up","Sonny Rollins","Sonny Side Up","Favorites Albums","Album","0602567828969","wc6qhr4e5ysma"
"A Night At The Village Vanguard","Sonny Rollins","A Night At The Village Vanguard","Favorites Albums","Album","0602465219494","gn5rc0sl9beya"
"Saxophone Colossus","Sonny Rollins","Saxophone Colossus","Favorites Albums","Album","0088807235279","0088807235279"
"The Bridge","Sonny Rollins","The Bridge","Favorites Albums","Album","0828765247221","0828765247221"
"A Saucerful of Secrets","Pink Floyd","A Saucerful of Secrets","Favorites Albums","Album","0886445613209","r51fnpwnztetb"
"Obscured by Clouds","Pink Floyd","Obscured by Clouds","Favorites Albums","Album","0886445613254","mi0j55zt1zsxa"
"The Piper at the Gates of Dawn","Pink Floyd","The Piper at the Gates of Dawn","Favorites Albums","Album","0886445613193","d0g5tz7t3rqec"
"The Final Cut (2011 Remastered Version) ","Pink Floyd","The Final Cut (2011 Remastered Version) ","Favorites Albums","Album","0886445613858","gh6ro5ntkj2eb"
"Meddle","Pink Floyd","Meddle","Favorites Albums","Album","0886445613247","fdkb67gcvpana"
"Animals","Pink Floyd","Animals","Favorites Albums","Album","0886445613834","tv5c8tyo8y66b"
"The Division Bell ","Pink Floyd","The Division Bell ","Favorites Albums","Album","0886445613872","zkw3csyyk9ndc"
"The Wall (Remastered 2011 Version)","Pink Floyd","The Wall (Remastered 2011 Version)","Favorites Albums","Album","0886445613841","dvc2hmdh714yc"
"Wish You Were Here","Pink Floyd","Wish You Were Here","Favorites Albums","Album","0886445613278","u5jzer5t2bmqb"
"Elevation","Pharoah Sanders","Elevation","Favorites Albums","Album","0602498802793","tknwnce7m3a2a"
"Jewels Of Thought","Pharoah Sanders","Jewels Of Thought","Favorites Albums","Album","0011105024723","ulqxdzbzsu7lb"
"Black Unity","Pharoah Sanders","Black Unity","Favorites Albums","Album","0011105021920","i9sjllmxam4ca"
"Wisdom Through Music","Pharoah Sanders","Wisdom Through Music","Favorites Albums","Album","0602577911637","zro2g3zk3q3ca"
"Karma","Pharoah Sanders","Karma","Favorites Albums","Album","0011105015325","yh28to3cdg6ac"
"Tauhid","Pharoah Sanders","Tauhid","Favorites Albums","Album","0001110501292","0001110501292"
"Izipho Zam (My Gifts)","Pharoah Sanders","Izipho Zam (My Gifts)","Favorites Albums","Album","0673203501164","zuagb1le0bzic"
"Promises","Floating Points","Promises","Favorites Albums","Album","0680899009720","cnjjko523sz0b"
"We Get Requests","Oscar Peterson","We Get Requests","Favorites Albums","Album","0060254747371","0060254747371"
"Night Train","Oscar Peterson","Night Train","Favorites Albums","Album","0602507498924","jq1bm1xi9c6lc"
"The Blues And The Abstract Truth","Oliver Nelson","The Blues And The Abstract Truth","Favorites Albums","Album","0602438440184","scy53h0llsm0a"
"Milt Jackson With John Lewis, Percy Heath, Kenny Clarke, Lou Donaldson And The Thelonious Monk Quintet","Milt Jackson","Milt Jackson With John Lewis, Percy Heath, Kenny Clarke, Lou Donaldson And The Thelonious Monk Quintet","Favorites Albums","Album","0602508008757","dcumtorbpxqic"
"The Real McCoy","McCoy Tyner","The Real McCoy","Favorites Albums","Album","0060253764811","0060253764811"
"Lee-Way","Lee Morgan","Lee-Way","Favorites Albums","Album","0602537550135","ojo478cy7dobc"
"Search For The New Land","Lee Morgan","Search For The New Land","Favorites Albums","Album","0060253764695","0060253764695"
"The Sidewinder","Lee Morgan","The Sidewinder","Favorites Albums","Album","0060253764835","0060253764835"
"Una Mas","Kenny Dorham","Una Mas","Favorites Albums","Album","0060254715295","0060254715295"
"Quiet Kenny (Rudy Van Gelder Remaster)","Kenny Dorham","Quiet Kenny (Rudy Van Gelder Remaster)","Favorites Albums","Album","0088807234927","0088807234927"
"The Köln Concert (Live at the Opera, Köln, 1975)","Keith Jarrett","The Köln Concert (Live at the Opera, Köln, 1975)","Favorites Albums","Album","0060254707654","0060254707654"
"Inner Urge","Joe Henderson","Inner Urge","Favorites Albums","Album","0724359242255","0724359242255"
"In 'n Out","Joe Henderson","In 'n Out","Favorites Albums","Album","0724359650753","0724359650753"
"Page One","Joe Henderson","Page One","Favorites Albums","Album","0060253742941","0060253742941"
"It's Time!","Jackie McLean","It's Time!","Favorites Albums","Album","0094635828450","0094635828450"
"Vertigo","Jackie McLean","Vertigo","Favorites Albums","Album","0724352266951","0724352266951"
"Destination...Out!","Jackie McLean","Destination...Out!","Favorites Albums","Album","0060254706072","0060254706072"
"Speakin' My Piece","Horace Parlan Quintet","Speakin' My Piece","Favorites Albums","Album","0602577261459","hzppq6kz29ekb"
"Us Three","Horace Parlan","Us Three","Favorites Albums","Album","0602567473787","cenik2r2voorb"
"Flood (Live in Tokyo - 1975)","Herbie Hancock","Flood (Live in Tokyo - 1975)","Favorites Albums","Album","0886444291996","0886444291996"
"Sextant","Herbie Hancock","Sextant","Favorites Albums","Album","0074646498323","0074646498323"
"Inventions & Dimensions","Herbie Hancock","Inventions & Dimensions","Favorites Albums","Album","0060253782182","0060253782182"
"Empyrean Isles","Herbie Hancock","Empyrean Isles","Favorites Albums","Album","0060253746532","0060253746532"
"Maiden Voyage","Herbie Hancock","Maiden Voyage","Favorites Albums","Album","0060253764850","0060253764850"
"Head Hunters","Herbie Hancock","Head Hunters","Favorites Albums","Album","0074646512326","0074646512326"
"Takin' Off","Herbie Hancock","Takin' Off","Favorites Albums","Album","0060253782158","0060253782158"
"Hank Mobley","Hank Mobley","Hank Mobley","Favorites Albums","Album","0602508092732","yvgsmherz965b"
"Dippin'","Hank Mobley","Dippin'","Favorites Albums","Album","0602537550463","zilkoh62yfbvc"
"No Room For Squares","Hank Mobley","No Room For Squares","Favorites Albums","Album","0060253746500","0060253746500"
"Roll Call","Hank Mobley","Roll Call","Favorites Albums","Album","0724354003059","0724354003059"
"Soul Station","Hank Mobley","Soul Station","Favorites Albums","Album","0060253764801","0060253764801"
"Here To Stay","Freddie Hubbard","Here To Stay","Favorites Albums","Album","0094636265957","0094636265957"
"Open Sesame","Freddie Hubbard","Open Sesame","Favorites Albums","Album","0724349534155","0724349534155"
"Red Clay (CTI Records 40th Anniversary Edition - Original Recording Remastered)","Freddie Hubbard","Red Clay (CTI Records 40th Anniversary Edition - Original Recording Remastered)","Favorites Albums","Album","0884977699098","0884977699098"
"One Flight Up","Dexter Gordon","One Flight Up","Favorites Albums","Album","0060254719168","0060254719168"
"A Swingin' Affair","Dexter Gordon","A Swingin' Affair","Favorites Albums","Album","0060254719177","0060254719177"
"Dexter Calling (192kHz/24bit)","Dexter Gordon","Dexter Calling (192kHz/24bit)","Favorites Albums","Album","0060254719161","0060254719161"
"Go","Dexter Gordon","Go","Favorites Albums","Album","0060253764804","0060253764804"
"Chet Baker Sings","Chet Baker","Chet Baker Sings","Favorites Albums","Album","0724382323457","0724382323457"
"Tijuana Moods","Charles Mingus","Tijuana Moods","Favorites Albums","Album","0886970553322","0886970553322"
"Blues & Roots","Charles Mingus","Blues & Roots","Favorites Albums","Album","0603497899562","0603497899562"
"Mingus Mingus Mingus Mingus Mingus","Charles Mingus","Mingus Mingus Mingus Mingus Mingus","Favorites Albums","Album","0602507498979","zug92djbgzx2a"
"Mingus Ah Um","Charles Mingus","Mingus Ah Um","Favorites Albums","Album","5099706551225","5099706551225"
"The Black Saint And The Sinner Lady","Charles Mingus","The Black Saint And The Sinner Lady","Favorites Albums","Album","0001110501742","0001110501742"
"MINT JAMS","Casiopea","MINT JAMS","Favorites Albums","Album","4582290419145","w5v834fnjy1xb"
"MAKE UP CITY","Casiopea","MAKE UP CITY","Favorites Albums","Album","4582290418698","bztctmjoy7yib"
"CASIOPEA","Casiopea","CASIOPEA","Favorites Albums","Album","4582290418568","a3ljft9etoygb"
"Somethin' Else","Cannonball Adderley","Somethin' Else","Favorites Albums","Album","0602537648153","t9tywhij3q4kc"
"Buena Vista Social Club ","Buena Vista Social Club","Buena Vista Social Club ","Favorites Albums","Album","4050538630107","t6sxftxt80rxc"
"Swingin' With Bud","Bud Powell","Swingin' With Bud","Favorites Albums","Album","0886446405636","0886446405636"
"The Amazing Bud Powell: Vol. 1","Bud Powell","The Amazing Bud Powell: Vol. 1","Favorites Albums","Album","0724353213657","0724353213657"
"Dig This","Bobbi Humphrey","Dig This","Favorites Albums","Album","0602567744634","lxdar46fyftub"
"Fancy Dancer","Bobbi Humphrey","Fancy Dancer","Favorites Albums","Album","5099952237553","5099952237553"
"Blacks And Blues","Bobbi Humphrey","Blacks And Blues","Favorites Albums","Album","0724349854253","0724349854253"
"Free For All","Art Blakey & The Jazz Messengers","Free For All","Favorites Albums","Album","0602537648122","w7eabgufnmena"
"Art Blakey's Jazz Messengers (with Thelonious Monk)","Art Blakey & The Jazz Messengers","Art Blakey's Jazz Messengers (with Thelonious Monk)","Favorites Albums","Album","0603497842407","h0fxjq3lf5u5b"
"Art Blakey & The Jazz Messengers","Art Blakey & The Jazz Messengers","Art Blakey & The Jazz Messengers","Favorites Albums","Album","0060253780977","0060253780977"
"Just Coolin'","Art Blakey & The Jazz Messengers","Just Coolin'","Favorites Albums","Album","0602508650215","vazaja7shnsdc"
"Caravan","Art Blakey & The Jazz Messengers","Caravan","Favorites Albums","Album","0888072556249","r4q15ie6kmygb"
"A Night At Birdland","Art Blakey","A Night At Birdland","Favorites Albums","Album","0060254706458","0060254706458"
"A Night In Tunisia","Art Blakey & The Jazz Messengers","A Night In Tunisia","Favorites Albums","Album","0060253740843","0060253740843"
"Stone Flower (CTI Records 40th Anniversary Edition)","Antonio Carlos Jobim","Stone Flower (CTI Records 40th Anniversary Edition)","Favorites Albums","Album","0884977713671","0884977713671"
"The Composer Of Desafinado, Plays","Antonio Carlos Jobim","The Composer Of Desafinado, Plays","Favorites Albums","Album","0602508747618","y99vddl9hvgqc"
"Elis & Tom","Elis Regina","Elis & Tom","Favorites Albums","Album","0602577166471","sgrejjl1zcgab"
"Wave","Antonio Carlos Jobim","Wave","Favorites Albums","Album","0602567831853","ryhxpc8yd2lta"
"Live in Paris (1971)","Ahmad Jamal","Live in Paris (1971)","Favorites Albums","Album","3760179357011","dthoctylyuhkb"
"At The Blackhawk","Ahmad Jamal","At The Blackhawk","Favorites Albums","Album","0060255770509","0060255770509"
"Outertimeinnerspace","Ahmad Jamal","Outertimeinnerspace","Favorites Albums","Album","0060254770812","0060254770812"
"The Ahmad Jamal Trio","Ahmad Jamal","The Ahmad Jamal Trio","Favorites Albums","Album","0196871699709","skeaxqru9w85b"
"Live At The Montreal Jazz Festival 1985","Ahmad Jamal","Live At The Montreal Jazz Festival 1985","Favorites Albums","Album","0081227454364","0081227454364"
"Ahmad's Blues","Ahmad Jamal","Ahmad's Blues","Favorites Albums","Album","0001110518032","0001110518032"
"Poinciana","Ahmad Jamal","Poinciana","Favorites Albums","Album","0074644439427","0074644439427"
"Ahmad Jamal At The Pershing: But Not For Me","Ahmad Jamal","Ahmad Jamal At The Pershing: But Not For Me","Favorites Albums","Album","0602577194573","rx2gtsiik9hjb"
"The Awakening","Ahmad Jamal","The Awakening","Favorites Albums","Album","0011105022620","ej9qdgi86b2ma"
"""Four"" & More ","Miles Davis","""Four"" & More ","Favorites Albums","Album","0827969359525","0827969359525"
"Live - Evil","Miles Davis","Live - Evil","Favorites Albums","Album","0074646513521","0074646513521"
"Miles Ahead ","Miles Davis","Miles Ahead ","Favorites Albums","Album","0886446473062","0886446473062"
"Miles in the Sky","Miles Davis","Miles in the Sky","Favorites Albums","Album","0886447509289","g0f5wfitmowzb"
"Birth Of The Cool","Miles Davis","Birth Of The Cool","Favorites Albums","Album","0060254782276","0060254782276"
"Someday My Prince Will Come ","Miles Davis","Someday My Prince Will Come ","Favorites Albums","Album","0886446473109","0886446473109"
"Milestones (Mono version)","Miles Davis","Milestones (Mono version)","Favorites Albums","Album","0886444333931","0886444333931"
"Walkin'","Miles Davis","Walkin'","Favorites Albums","Album","0888072670501","gg9mdfxgo3hsa"
"'Round About Midnight ","Miles Davis","'Round About Midnight ","Favorites Albums","Album","0886444333917","0886444333917"
"Sketches of Spain","Miles Davis","Sketches of Spain","Favorites Albums","Album","0886444505321","0886444505321"
"In A Silent Way","Miles Davis","In A Silent Way","Favorites Albums","Album","0696998655621","0696998655621"
"Bitches Brew","Miles Davis","Bitches Brew","Favorites Albums","Album","0886443874428","0886443874428"
"Kind Of Blue","Miles Davis","Kind Of Blue","Favorites Albums","Album","5099749522428","5099749522428"
"Traneing In","John Coltrane","Traneing In","Favorites Albums","Album","0088807235227","0088807235227"
"Settin' The Pace","John Coltrane","Settin' The Pace","Favorites Albums","Album","0088807239123","0088807239123"
"Kulu Sé Mama","John Coltrane","Kulu Sé Mama","Favorites Albums","Album","0060251792034","0060251792034"
"Ascension","John Coltrane","Ascension","Favorites Albums","Album","0602547871572","kf2f408tq34oc"
"Bahia","John Coltrane","Bahia","Favorites Albums","Album","0888072391369","qqk02nmi43r0b"
"Live At The Village Vanguard","John Coltrane Quartet","Live At The Village Vanguard","Favorites Albums","Album","0602547862402","x0ybuhbciwzjb"
"Stardust","John Coltrane","Stardust","Favorites Albums","Album","0088807239033","0088807239033"
"At Carnegie Hall","Thelonious Monk Quartet ","At Carnegie Hall","Favorites Albums","Album","0094633517356","0094633517356"
"Impressions","John Coltrane","Impressions","Favorites Albums","Album","0602547865175","b3fowghp8l2ha"
"Both Directions At Once: The Lost Album (Deluxe Edition)","John Coltrane","Both Directions At Once: The Lost Album (Deluxe Edition)","Favorites Albums","Album","0602567554295","l9ox0qzoqcowb"
"Coltrane","John Coltrane Quartet","Coltrane","Favorites Albums","Album","0602547862426","v20jw6dtl1f3b"
"Africa/Brass","John Coltrane","Africa/Brass","Favorites Albums","Album","0060253742081","0060253742081"
"Live At Birdland","John Coltrane","Live At Birdland","Favorites Albums","Album","0060254786527","0060254786527"
"Coltrane","John Coltrane","Coltrane","Favorites Albums","Album","0088807239027","0088807239027"
"Thelonious Monk With John Coltrane","Thelonious Monk","Thelonious Monk With John Coltrane","Favorites Albums","Album","0088807239025","0088807239025"
"Soultrane","John Coltrane","Soultrane","Favorites Albums","Album","0088807239031","0088807239031"
"Coltrane Plays the Blues","John Coltrane","Coltrane Plays the Blues","Favorites Albums","Album","0603497894291","0603497894291"
"Coltrane's Sound","John Coltrane","Coltrane's Sound","Favorites Albums","Album","0603497894284","0603497894284"
"Olé Coltrane","John Coltrane","Olé Coltrane","Favorites Albums","Album","0603497894666","0603497894666"
"Giant Steps ","John Coltrane","Giant Steps ","Favorites Albums","Album","0603497847549","w13y2b5td69eb"
"My Favorite Things","John Coltrane","My Favorite Things","Favorites Albums","Album","0603497920327","0603497920327"
"John Coltrane and Johnny Hartman","John Coltrane","John Coltrane and Johnny Hartman","Favorites Albums","Album","0602507498245","i1nw1rs1d0clc"
"Blue Train","John Coltrane","Blue Train","Favorites Albums","Album","0060253764852","0060253764852"
"A Love Supreme","John Coltrane","A Love Supreme","Favorites Albums","Album","0060253742084","0060253742084"
"Getz/Gilberto","Stan Getz","Getz/Gilberto","Favorites Albums","Album","0602435409283","wku5y5j6r2vla"
"Undercurrent","Bill Evans","Undercurrent","Favorites Albums","Album","0724353822859","0724353822859"
"Explorations","Bill Evans Trio","Explorations","Favorites Albums","Album","0002521860372","0002521860372"
"Waltz For Debby","Bill Evans Trio","Waltz For Debby","Favorites Albums","Album","0888072504868","q8m2djqmky77b"
"Sunday At The Village Vanguard","Bill Evans Trio","Sunday At The Village Vanguard","Favorites Albums","Album","0888072475403","qlrsn75jfkoua"
"Portrait In Jazz","Bill Evans","Portrait In Jazz","Favorites Albums","Album","0088807202592","0088807202592"
