Track name,Artist name,Album,Playlist name,Type,ISRC,Qobuz - id
"Jazz At The Plaza Vol 1","Miles Davis","Jazz At The Plaza Vol 1","Favorites Albums","Album","5056321623850","x3ohvi79mw1kb"
"Heavy Weather","Weather Report","Heavy Weather","Favorites Albums","Album","0074646510827","0074646510827"
"Genius Of Modern Music, Vol. 1 (Expanded Edition)","Thelonious Monk","Genius Of Modern Music, Vol. 1 (Expanded Edition)","Favorites Albums","Album","0724353213855","0724353213855"
"Chet Baker Sings: It Could Happen To You","Chet Baker","Chet Baker Sings: It Could Happen To You","Favorites Albums","Album","0888072233973","tbgbdzivk71ia"
"Black Market","Weather Report","Black Market","Favorites Albums","Album","0886443431423","0886443431423"
"Black Focus","Yussef Kamaal","Black Focus","Favorites Albums","Album","3614970930488","ko690lul13jvb"
"Afro-Cuban","Kenny Dorham","Afro-Cuban","Favorites Albums","Album","0602537471461","as3zmbfkjygj0"
"Black Byrd","Donald Byrd","Black Byrd","Favorites Albums","Album","0509999583775","0509999583775"
"Chant","Donald Byrd","Chant","Favorites Albums","Album","0602438303335","y498vk1slv9aa"
"Electric Byrd","Donald Byrd","Electric Byrd","Favorites Albums","Album","0724383619559","0724383619559"
"Conversations With Myself (Expanded Edition)","Bill Evans","Conversations With Myself (Expanded Edition)","Favorites Albums","Album","0073145214092","0073145214092"
"Herbie Nichols Trio","Herbie Nichols Trio","Herbie Nichols Trio","Favorites Albums","Album","0602508069994","iaz47xecxjjea"
"Wu Hen","Kamaal Williams","Wu Hen","Favorites Albums","Album","5060384618739","g7o79e0v71uda"
"Wede Harer Guzo","Hailu Mergia and Dahlak Band","Wede Harer Guzo","Favorites Albums","Album","0656605345567","0656605345567"
"Unity","Larry Young","Unity","Favorites Albums","Album","0602537648382","zyd7py2wnqxha"
"Trilogy 3","Chick Corea","Trilogy 3","Favorites Albums","Album","0708857335435","qztbvjp9hfmaa"
"Trilogy 2","Chick Corea","Trilogy 2","Favorites Albums","Album","0888072145887","xnq9y8wbsraya"
"Trilogy","Chick Corea Trio","Trilogy","Favorites Albums","Album","0888072356894","uwdhkeylcjd3b"
"To Love Somebody","Nina Simone","To Love Somebody","Favorites Albums","Album","0886447626795","efgw32tjdx8tb"
"The Tokyo Blues","Horace Silver","The Tokyo Blues","Favorites Albums","Album","5099926514659","5099926514659"
"The Times They Are A-Changin'","Bob Dylan","The Times They Are A-Changin'","Favorites Albums","Album","0827969424025","0827969424025"
"The Soft Parade ","The Doors","The Soft Parade ","Favorites Albums","Album","0603497851317","emg9tlpze5o8b"
"The Shape Of Jazz To Come","Ornette Coleman","The Shape Of Jazz To Come","Favorites Albums","Album","0603497920310","0603497920310"
"The Rumproller","Lee Morgan","The Rumproller","Favorites Albums","Album","0060254712561","0060254712561"
"The Return","Kamaal Williams","The Return","Favorites Albums","Album","5060384613437","m0hn0zmgxxrfb"
"The Power and the Glory ","Gentle Giant","The Power and the Glory ","Favorites Albums","Album","0804471000244","h9nwkjwr0lfsc"
"The Mad Hatter","Chick Corea","The Mad Hatter","Favorites Albums","Album","0731451979927","wlj6dbzt5bfsb"
"The Heliocentric Worlds of Sun Ra (vol. 1)","Sun Ra","The Heliocentric Worlds of Sun Ra (vol. 1)","Favorites Albums","Album","0825481011143","0825481011143"
"The Freewheelin' Bob Dylan","Bob Dylan","The Freewheelin' Bob Dylan","Favorites Albums","Album","0074640878626","0074640878626"
"The Epic","Kamasi Washington","The Epic","Favorites Albums","Album","5054429000207","rdbpn7keshtxa"
"The Eastern Moods Of","Bilal Abdurahman","The Eastern Moods Of","Favorites Albums","Album","0889845140788","0889845140788"
"The Doors","The Doors","The Doors","Favorites Albums","Album","0603497927838","0603497927838"
"The Chick Corea Elektric Band","Chick Corea Elektric Band","The Chick Corea Elektric Band","Favorites Albums","Album","0708857430338","e64c0osewbhxa"
"The Cape Verdean Blues","Horace Silver Quintet","The Cape Verdean Blues","Favorites Albums","Album","0602537873494","ednpb7nxdbh6b"
"The Big Beat","Art Blakey & The Jazz Messengers","The Big Beat","Favorites Albums","Album","0724356380059","0724356380059"
"Takanaka","Masayoshi Takanaka","Takanaka","Favorites Albums","Album","0600406363596","qd6r2dsdj948b"
"SUPER FLIGHT","Casiopea","SUPER FLIGHT","Favorites Albums","Album","4582290418650","cr34yc570d80a"
"Sun Ra with Pharoah Sanders and Black Harold","Sun Ra","Sun Ra with Pharoah Sanders and Black Harold","Favorites Albums","Album","0048285989863","ifhjrtg3bdt1a"
"Strange Days","The Doors","Strange Days","Favorites Albums","Album","0603497927852","0603497927852"
"Stellar Regions","John Coltrane","Stellar Regions","Favorites Albums","Album","0011105016926","ea1jpdn7sbcza"
"Space is the Place","Sun Ra","Space is the Place","Favorites Albums","Album","0001110502492","0001110502492"
"Silk & Soul ","Nina Simone","Silk & Soul ","Favorites Albums","Album","0828767333526","0828767333526"
